Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Derrick Henry *,TEN,25,RB,15,15,303,1540,16,73,74,5.1,102.7,5
Ezekiel Elliott*,DAL,24,RB,16,16,301,1357,12,78,33,4.5,84.8,3
Nick Chubb*,CLE,24,RB,16,16,298,1494,8,62,88,5.0,93.4,3
Christian McCaffrey*+,CAR,23,RB,16,16,287,1387,15,57,84,4.8,86.7,1
Chris Carson,SEA,25,RB,15,15,278,1230,7,75,59,4.4,82.0,7
Joe Mixon,CIN,23,RB,16,15,278,1137,5,56,41,4.1,71.1,0
Leonard Fournette,JAX,24,RB,15,15,265,1152,3,55,81,4.3,76.8,1
Dalvin Cook*,MIN,24,RB,14,14,250,1135,13,60,75,4.5,81.1,4
Marlon Mack,IND,23,RB,14,12,247,1091,8,67,63,4.4,77.9,0
Sony Michel,NWE,24,RB,16,14,247,912,7,55,26,3.7,57.0,2
Le'Veon Bell,NYJ,27,RB,15,15,245,789,3,36,19,3.2,52.6,1
Carlos Hyde,HOU,29,RB,16,14,245,1070,6,55,58,4.4,66.9,4
Josh Jacobs,OAK,21,RB,13,13,242,1150,7,53,51,4.8,88.5,1
Aaron Jones,GNB,25,RB,16,16,236,1084,16,55,56,4.6,67.8,3
Phillip Lindsay,DEN,25,RB,16,16,224,1011,7,38,40,4.5,63.2,0
Todd Gurley,LAR,25,RB,15,15,223,857,12,51,25,3.8,57.1,3
Saquon Barkley,NYG,22,RB,13,13,217,1003,6,45,68,4.6,77.2,1
Adrian Peterson,WAS,34,RB,15,15,211,898,5,41,32,4.3,59.9,3
Mark Ingram*,BAL,30,RB,15,15,202,1018,10,53,53,5.0,67.9,2
Devonta Freeman,ATL,27,RB,14,14,184,656,2,31,28,3.6,46.9,3
Miles Sanders,PHI,22,RB,16,11,179,818,3,30,65,4.6,51.1,2
Ronald Jones II,TAM,22,RB,16,9,172,724,6,34,49,4.2,45.3,3
Alvin Kamara*,NOR,24,RB,14,9,171,797,5,32,40,4.7,56.9,4
Melvin Gordon,LAC,26,RB,12,11,162,612,8,39,24,3.8,51.0,4
Devin Singletary,BUF,22,RB,12,8,151,775,2,37,38,5.1,64.6,4
Tevin Coleman,SFO,26,RB,14,11,137,544,6,26,48,4.0,38.9,0
James Conner,PIT,24,RB,10,10,116,464,4,26,25,4.0,46.4,1
Kerryon Johnson,DET,22,RB,8,7,113,403,3,22,20,3.6,50.4,1
LeSean McCoy,KAN,31,RB,13,9,101,465,4,24,39,4.6,35.8,3
Kalen Ballage,MIA,24,RB,12,6,74,135,3,10,8,1.8,11.3,0
Tarik Cohen,CHI,24,RB,16,11,64,213,0,15,19,3.3,13.3,3
C.J. Ham*,MIN,26,FB,16,7,7,17,0,2,9,2.4,1.1,1
George Kittle*+,SFO,26,TE,14,14,5,22,0,1,18,4.4,1.6,1
Jonnu Smith,TEN,24,TE,16,14,4,78,0,2,57,19.5,4.9,0
Evan Engram,NYG,25,TE,8,6,3,7,0,0,5,2.3,0.9,0
Noah Fant,DEN,22,TE,16,11,3,-12,0,0,-2,-4.0,-0.8,1
Kyle Juszczyk*,SFO,28,FB,12,12,3,7,0,1,6,2.3,0.6,0
Darren Waller,OAK,27,TE,16,16,2,5,0,0,7,2.5,0.3,1
Will Dissly,SEA,23,TE,6,6,1,7,0,0,7,7.0,1.2,1
Travis Kelce*,KAN,30,TE,16,16,1,4,1,1,4,4.0,0.3,1
Dawson Knox,BUF,23,TE,15,11,1,9,0,1,9,9.0,0.6,0
Vance McDonald,PIT,29,TE,14,14,1,2,0,0,2,2.0,0.1,1
