               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13064,            0.015675,            0.078698,           0.0011918,            0.022727,          0.00064857,          0.00014176,              0.1258,            0.013176,            0.077624,              0.0004,              0.0004,              0.0964
                   1,             0.12638,            0.016953,            0.077023,          0.00047036,           0.0090909,          0.00024122,          3.6037e-05,             0.11841,            0.015225,              0.0746,          0.00089955,          0.00089955,              0.0919
                   2,             0.11994,            0.019839,             0.07328,            0.024776,           0.0090909,           0.0035741,           0.0005859,             0.10632,            0.018464,            0.069345,           0.0013986,           0.0013986,            0.087399
                   3,             0.11325,            0.025659,            0.069109,            0.039532,                0.05,            0.015803,           0.0025947,              0.1008,             0.01964,            0.064755,           0.0018972,           0.0018972,            0.082897
                   4,             0.10612,             0.02438,            0.063853,             0.27045,             0.11818,              0.0164,           0.0041431,            0.097404,            0.020065,            0.057044,           0.0023952,           0.0023952,            0.078395
                   5,             0.10118,            0.027504,            0.058431,           0.0071139,             0.48494,           0.0080106,           0.0018285,            0.096819,            0.020091,            0.053163,           0.0028928,           0.0028928,            0.073893
                   6,            0.094663,            0.029693,            0.052231,            0.011665,             0.36369,            0.013133,            0.002545,            0.096509,            0.019619,            0.049689,           0.0033899,           0.0033899,             0.06939
                   7,            0.094359,             0.02934,            0.044781,             0.32389,             0.22591,            0.042415,            0.007108,             0.10225,            0.017272,            0.047571,           0.0038865,           0.0038865,            0.064886
                   8,            0.091926,            0.029976,            0.041683,             0.55333,             0.13415,            0.061895,            0.011958,            0.096421,            0.017225,            0.044821,           0.0043826,           0.0043826,            0.060383
                   9,            0.091936,            0.020956,            0.039523,           0.0073896,             0.20633,            0.010469,           0.0019919,              0.1063,            0.015643,            0.038678,           0.0048782,           0.0048782,            0.055878
                  10,            0.094388,            0.023859,              0.0329,             0.53311,             0.21652,            0.049365,            0.011143,             0.11227,            0.014617,            0.033182,           0.0053733,           0.0053733,            0.051373
                  11,            0.096271,            0.023754,            0.032022,             0.75929,             0.22752,             0.29893,            0.087624,            0.088022,            0.017754,            0.029269,           0.0058679,           0.0058679,            0.046868
                  12,            0.085148,             0.02265,            0.031663,             0.56312,             0.19765,            0.078759,            0.022982,             0.10929,            0.018337,            0.028803,            0.006362,            0.006362,            0.042362
                  13,            0.089339,            0.021501,            0.028609,             0.16261,             0.62628,              0.2057,            0.028304,             0.11561,            0.015142,            0.025211,           0.0068556,           0.0068556,            0.037856
                  14,            0.090187,            0.021289,            0.026386,             0.30389,             0.57966,             0.40465,             0.10754,            0.097432,            0.014756,            0.022232,           0.0073487,           0.0073487,            0.033349
                  15,            0.093612,            0.018468,            0.024683,            0.056108,             0.39663,            0.089545,            0.025837,             0.11424,            0.012871,            0.021223,           0.0078413,           0.0078413,            0.028841
                  16,             0.10057,            0.018063,            0.023062,             0.46287,             0.29441,              0.2944,             0.10515,             0.11613,            0.012625,            0.020337,           0.0083335,           0.0083335,            0.024333
                  17,             0.10176,            0.018061,             0.02464,             0.39258,             0.44231,             0.17339,            0.050815,             0.10694,            0.012296,            0.019741,           0.0088251,           0.0088251,            0.019825
                  18,            0.095683,            0.020997,            0.021981,             0.55808,             0.18094,            0.067036,            0.015369,             0.11209,            0.012604,            0.019292,           0.0093162,           0.0093162,            0.015316
                  19,             0.09538,            0.019296,            0.021107,             0.45416,             0.60538,             0.35308,            0.087019,            0.090127,            0.014452,            0.018874,           0.0098069,           0.0098069,            0.010807
                  20,            0.091629,             0.01954,            0.021195,             0.72054,                0.45,             0.47307,             0.15267,             0.10892,            0.013061,            0.019669,            0.009901,            0.009901,            0.009901
                  21,             0.10094,             0.01535,            0.020667,             0.67855,             0.19225,              0.1862,            0.035351,              0.1106,             0.01151,            0.018629,            0.009901,            0.009901,            0.009901
                  22,            0.092712,            0.017777,            0.019506,             0.99967,                0.25,             0.32802,             0.12262,            0.099527,            0.012278,            0.018053,           0.0098961,           0.0098961,           0.0098961
                  23,            0.082188,            0.020164,            0.020978,             0.75954,             0.26014,             0.35809,            0.091414,            0.091162,            0.013088,            0.018544,           0.0098911,           0.0098911,           0.0098911
                  24,            0.087236,            0.020655,            0.018245,             0.13728,             0.59517,             0.19749,            0.050423,              0.1027,             0.01511,            0.018251,           0.0098861,           0.0098861,           0.0098861
                  25,            0.092431,            0.015631,            0.018785,             0.53428,             0.60649,             0.39015,            0.095193,             0.10244,            0.013951,            0.018361,           0.0098812,           0.0098812,           0.0098812
                  26,            0.082505,            0.019098,            0.018125,             0.12941,             0.50399,             0.18823,            0.078148,            0.083948,            0.014097,            0.017623,           0.0098763,           0.0098763,           0.0098763
                  27,            0.074323,            0.020496,            0.018763,             0.48212,             0.45909,             0.35689,             0.12562,            0.089684,            0.012816,            0.016425,           0.0098713,           0.0098713,           0.0098713
                  28,            0.083053,            0.018301,            0.020033,             0.58339,             0.60379,             0.33312,            0.091991,            0.081835,            0.013513,            0.016067,           0.0098664,           0.0098664,           0.0098664
                  29,            0.084573,            0.017311,            0.017647,            0.085817,             0.59828,             0.10307,             0.03655,            0.091622,            0.015253,            0.015912,           0.0098614,           0.0098614,           0.0098614
                  30,            0.074276,            0.017599,            0.017943,             0.57122,             0.64796,             0.52772,             0.10651,            0.069045,            0.015926,            0.015701,           0.0098565,           0.0098565,           0.0098565
